id,catalog_number
3413,GMTMAC916-24UN4FL2X
3412,GMTMAC916-18UN4FL2X
3411,GMTMAC916-12UN4FL2X
3410,GMTMAC916-12UN4FL1.5X
3409,GMTMAC78-9UN4FL2X
3408,GMTMAC78-14UN4FL2X
3407,GMTMAC716-28UN3FL2X
3406,GMTMAC716-20UN3FL2X
3405,GMTMAC716-14UN3FL2X
3404,GMTMAC716-14UN3FL1.5X
3403,GMTMAC58-18UN4FL2X
3402,GMTMAC58-11UN4FL2X
3401,GMTMAC516-24UN3FL2X
3400,GMTMAC516-18UN3FL2X
3399,GMTMAC516-18UN3FL1.5X
3398,GMTMAC38-24UN3FL2X
3397,GMTMAC38-16UN3FL2X
3396,GMTMAC38-16UN3FL1.5X
3395,GMTMAC34-20UN4FL2X
3394,GMTMAC34-16UN4FL2X
3393,GMTMAC34-10UN4FL2X
3392,GMTMAC2400MM-3.004FL2X
3391,GMTMAC2000MM-2.504FL2X
3390,GMTMAC1800MM-2.504FL2X
3389,GMTMAC1600MM-2.004FL2X
3388,GMTMAC1600MM-2.004FL1.5X
3387,GMTMAC1600MM-1.504FL2X
3386,GMTMAC1400MM-2.004FL2X
3385,GMTMAC1400MM-2.004FL1.5X
3384,GMTMAC1400MM-1.504FL2X
3383,GMTMAC14-28UN3FL2X
3382,GMTMAC14-20UN3FL2X
3381,GMTMAC14-20UN3FL1.5X
3380,GMTMAC1200MM-1.754FL2X
3379,GMTMAC1200MM-1.754FL1.5X
3378,GMTMAC1200MM-1.503FL2X
3377,GMTMAC1200MM-1.004FL2X
3376,GMTMAC12-32UN3FL2X
3375,GMTMAC12-28UN3FL2X
3374,GMTMAC12-24UN3FL2X
3373,GMTMAC12-24UN3FL1.5X
